Product Name,Review Text,label,review_length,cleaned_review
HP Pavilion 15 Laptop,The performance is acceptable for basic office work but not suited for heavy tasks.,0,14,performance acceptable basic office work suited heavy task
HP Pavilion 15 Laptop,"The keyboard is comfortable to type on, and the trackpad is very responsive.",1,13,keyboard comfortable type trackpad responsive
HP Pavilion 15 Laptop,"The laptop stays cool during extended use, which is a huge plus.",0,12,laptop stay cool extended use huge plus
HP Pavilion 15 Laptop,Boot time is quick thanks to the SSD storage.,0,9,boot time quick thanks ssd storage
HP Pavilion 15 Laptop,Boot time is slower than expected despite having SSD storage.,0,10,boot time slower expected despite ssd storage
HP Pavilion 15 Laptop,There were occasional software crashes during multitasking.,1,7,occasional software crash multitasking
HP Pavilion 15 Laptop,Battery life is average and needs frequent charging during video playback.,0,11,battery life average need frequent charging video playback
HP Pavilion 15 Laptop,The touchpad is usable but not as smooth as expected.,0,10,touchpad usable smooth expected
HP Pavilion 15 Laptop,The system updates take a long time to install and configure.,0,11,system update take long time install configure
HP Pavilion 15 Laptop,The fan noise is minimal even when running heavy software.,1,10,fan noise minimal even running heavy software
HP Pavilion 15 Laptop,The touchpad is usable but not as smooth as expected.,0,10,touchpad usable smooth expected
HP Pavilion 15 Laptop,The speakers are clear and deliver decent sound quality for movies and calls.,0,13,speaker clear deliver decent sound quality movie call
HP Pavilion 15 Laptop,The fan is audible during regular use but not too distracting.,0,11,fan audible regular use distracting
HP Pavilion 15 Laptop,The ports provided are sufficient for most connectivity needs.,0,9,port provided sufficient connectivity need
HP Pavilion 15 Laptop,The build is decent but doesn't feel very premium.,1,9,build decent doesnt feel premium
HP Pavilion 15 Laptop,Battery life is average and needs frequent charging during video playback.,0,11,battery life average need frequent charging video playback
HP Pavilion 15 Laptop,The display brightness is acceptable for indoor use but struggles outdoors.,1,11,display brightness acceptable indoor use struggle outdoors
HP Pavilion 15 Laptop,The laptop is functional but nothing particularly outstanding about the design.,1,11,laptop functional nothing particularly outstanding design
HP Pavilion 15 Laptop,The keyboard is okay but lacks dedicated media keys.,1,9,keyboard okay lack dedicated medium key
HP Pavilion 15 Laptop,The fingerprint sensor works quickly and improves security.,0,8,fingerprint sensor work quickly improves security
HP Pavilion 15 Laptop,The charger is bulky and heats up during charging.,1,9,charger bulky heat charging
HP Pavilion 15 Laptop,The included software is useful but some pre-installed apps are unnecessary.,0,11,included software useful preinstalled apps unnecessary
HP Pavilion 15 Laptop,The laptop performs smoothly with multiple applications running simultaneously.,1,9,laptop performs smoothly multiple application running simultaneously
HP Pavilion 15 Laptop,The keyboard is okay but lacks dedicated media keys.,1,9,keyboard okay lack dedicated medium key
HP Pavilion 15 Laptop,The laptop is lightweight but doesn't feel as solid as more expensive models.,1,13,laptop lightweight doesnt feel solid expensive model
HP Pavilion 15 Laptop,Setup was quick and the Windows installation was hassle-free.,1,9,setup quick window installation hasslefree
HP Pavilion 15 Laptop,Boot time is quick thanks to the SSD storage.,1,9,boot time quick thanks ssd storage
HP Pavilion 15 Laptop,"The display is bright and sharp, providing an excellent viewing experience.",1,11,display bright sharp providing excellent viewing experience
HP Pavilion 15 Laptop,The laptop is lightweight but doesn't feel as solid as more expensive models.,1,13,laptop lightweight doesnt feel solid expensive model
HP Pavilion 15 Laptop,Fan noise becomes loud when running heavier programs.,1,8,fan noise becomes loud running heavier program
HP Pavilion 15 Laptop,Battery life is impressive and easily lasts a full working day.,0,11,battery life impressive easily last full working day
HP Pavilion 15 Laptop,The laptop performs smoothly with multiple applications running simultaneously.,0,9,laptop performs smoothly multiple application running simultaneously
HP Pavilion 15 Laptop,The fan is audible during regular use but not too distracting.,1,11,fan audible regular use distracting
HP Pavilion 15 Laptop,The hinge feels a bit loose after regular opening and closing.,1,11,hinge feel bit loose regular opening closing
HP Pavilion 15 Laptop,The touchpad occasionally lags and doesn't always register clicks properly.,1,10,touchpad occasionally lag doesnt always register click properly
HP Pavilion 15 Laptop,The laptop heats up quickly during prolonged use.,0,8,laptop heat quickly prolonged use
HP Pavilion 15 Laptop,The laptop handles daily tasks like browsing and document editing without any lag.,1,13,laptop handle daily task like browsing document editing without lag
HP Pavilion 15 Laptop,"The laptop stays cool during extended use, which is a huge plus.",0,12,laptop stay cool extended use huge plus
HP Pavilion 15 Laptop,The laptop handles daily tasks like browsing and document editing without any lag.,0,13,laptop handle daily task like browsing document editing without lag
HP Pavilion 15 Laptop,The ports provided are sufficient for most connectivity needs.,0,9,port provided sufficient connectivity need
HP Pavilion 15 Laptop,The body attracts fingerprints and smudges easily.,0,7,body attracts fingerprint smudge easily
HP Pavilion 15 Laptop,The fingerprint sensor works quickly and improves security.,0,8,fingerprint sensor work quickly improves security
HP Pavilion 15 Laptop,The display is decent but could have had a higher refresh rate.,1,12,display decent could higher refresh rate
HP Pavilion 15 Laptop,The build quality feels sturdy and premium.,1,7,build quality feel sturdy premium
HP Pavilion 15 Laptop,The speakers produce low volume and tinny sound.,1,8,speaker produce low volume tinny sound
HP Pavilion 15 Laptop,The speakers work fine but are not suitable for music enthusiasts.,1,11,speaker work fine suitable music enthusiast
HP Pavilion 15 Laptop,Fan noise becomes loud when running heavier programs.,1,8,fan noise becomes loud running heavier program
HP Pavilion 15 Laptop,The charger is bulky and heats up during charging.,0,9,charger bulky heat charging
HP Pavilion 15 Laptop,The keyboard feels cramped and is not backlit.,1,8,keyboard feel cramped backlit
HP Pavilion 15 Laptop,"The design is sleek and lightweight, making it ideal for travel.",1,11,design sleek lightweight making ideal travel
HP Pavilion 15 Laptop,The speakers are clear and deliver decent sound quality for movies and calls.,0,13,speaker clear deliver decent sound quality movie call
HP Pavilion 15 Laptop,Battery drains faster than expected while streaming or using heavy software.,1,11,battery drain faster expected streaming using heavy software
HP Pavilion 15 Laptop,"The keyboard is comfortable to type on, and the trackpad is very responsive.",0,13,keyboard comfortable type trackpad responsive
HP Pavilion 15 Laptop,The keyboard feels cramped and is not backlit.,1,8,keyboard feel cramped backlit
HP Pavilion 15 Laptop,The touchpad occasionally lags and doesn't always register clicks properly.,0,10,touchpad occasionally lag doesnt always register click properly
HP Pavilion 15 Laptop,There were occasional software crashes during multitasking.,1,7,occasional software crash multitasking
HP Pavilion 15 Laptop,The display colors are not very accurate and appear washed out.,1,11,display color accurate appear washed
HP Pavilion 15 Laptop,The speakers produce low volume and tinny sound.,0,8,speaker produce low volume tinny sound
HP Pavilion 15 Laptop,The build quality feels sturdy and premium.,0,7,build quality feel sturdy premium
HP Pavilion 15 Laptop,Battery life is impressive and easily lasts a full working day.,0,11,battery life impressive easily last full working day
HP Pavilion 15 Laptop,The system handles multitasking fairly well but slows down under load.,0,11,system handle multitasking fairly well slows load
HP Pavilion 15 Laptop,The hinge feels a bit loose after regular opening and closing.,0,11,hinge feel bit loose regular opening closing
HP Pavilion 15 Laptop,The system handles multitasking fairly well but slows down under load.,0,11,system handle multitasking fairly well slows load
HP Pavilion 15 Laptop,Battery drains faster than expected while streaming or using heavy software.,0,11,battery drain faster expected streaming using heavy software
HP Pavilion 15 Laptop,"The display is bright and sharp, providing an excellent viewing experience.",0,11,display bright sharp providing excellent viewing experience
HP Pavilion 15 Laptop,The speakers work fine but are not suitable for music enthusiasts.,1,11,speaker work fine suitable music enthusiast
HP Pavilion 15 Laptop,The display colors are not very accurate and appear washed out.,1,11,display color accurate appear washed
HP Pavilion 15 Laptop,Setup was quick and the Windows installation was hassle-free.,0,9,setup quick window installation hasslefree
HP Pavilion 15 Laptop,The included software is useful but some pre-installed apps are unnecessary.,1,11,included software useful preinstalled apps unnecessary
HP Pavilion 15 Laptop,The laptop is sufficient for everyday tasks but not ideal for gaming.,1,12,laptop sufficient everyday task ideal gaming
HP Pavilion 15 Laptop,The laptop is functional but nothing particularly outstanding about the design.,1,11,laptop functional nothing particularly outstanding design
HP Pavilion 15 Laptop,The display is decent but could have had a higher refresh rate.,1,12,display decent could higher refresh rate
HP Pavilion 15 Laptop,The webcam quality is below average for video calls.,0,9,webcam quality average video call
HP Pavilion 15 Laptop,"The design is sleek and lightweight, making it ideal for travel.",1,11,design sleek lightweight making ideal travel
HP Pavilion 15 Laptop,The display brightness is acceptable for indoor use but struggles outdoors.,0,11,display brightness acceptable indoor use struggle outdoors
HP Pavilion 15 Laptop,The system updates take a long time to install and configure.,1,11,system update take long time install configure
HP Pavilion 15 Laptop,Boot time is slower than expected despite having SSD storage.,1,10,boot time slower expected despite ssd storage
HP Pavilion 15 Laptop,The performance is acceptable for basic office work but not suited for heavy tasks.,1,14,performance acceptable basic office work suited heavy task
HP Pavilion 15 Laptop,The laptop heats up quickly during prolonged use.,0,8,laptop heat quickly prolonged use
HP Pavilion 15 Laptop,The body attracts fingerprints and smudges easily.,1,7,body attracts fingerprint smudge easily
HP Pavilion 15 Laptop,The fan noise is minimal even when running heavy software.,0,10,fan noise minimal even running heavy software
HP Pavilion 15 Laptop,The webcam quality is below average for video calls.,1,9,webcam quality average video call
HP Pavilion 15 Laptop,The laptop is sufficient for everyday tasks but not ideal for gaming.,0,12,laptop sufficient everyday task ideal gaming
HP Pavilion 15 Laptop,The build is decent but doesn't feel very premium.,1,9,build decent doesnt feel premium
